رقم السجل,اسم النشاط,الفئة الرئيسية,التصنيف الفرعي,نوع النشاط الأصلي,التصنيف الأصلي,المدينة,المدينة / القرية,العنوان,الهاتف,واتساب,فيسبوك,إنستغرام,الموقع الإلكتروني,مواعيد العمل,تقييم جوجل,عدد مراجعات جوجل,نطاق الأسعار,معرّف المكان في جوجل,رابط خرائط جوجل,الوصف,معلومات الأسعار,الصور,نشاط إلكتروني فقط,موثّق,المصدر,نوع المصدر,تاريخ الجمع,خط العرض,خط الطول
136,شركة النور للكمبيوتر وأنظمة المراقبه,📱 محلات الموبايلات والإلكترونيات,موبايلات وإلكترونيات وكمبيوتر,,Electronics store,Banha,,"متفرع من ترعة النيل، قسم بنها، قسم بنها ٥ . أ عمارات أحمد مصطفى متفرع من, Teraad Al Nil, Banha, Al-Qalyubia Governorate 13512, Egypt",201090718050.0,,,,,,4.8,89.0,,ChIJWZKy6E_f9xQRs8o87uUbkfg,https://www.جوجل.com/maps/search/?api=1&query=%D8%B4%D8%B1%D9%83%D8%A9%20%D8%A7%D9%84%D9%86%D9%88%D8%B1%20%D9%84%D9%84%D9%83%D9%85%D8%A8%D9%8A%D9%88%D8%AA%D8%B1%20%D9%88%D8%A3%D9%86%D8%B8%D9%85%D8%A9%20%D8%A7%D9%84%D9%85%D8%B1%D8%A7%D9%82%D8%A8%D9%87%20%D9%85%D8%AA%D9%81%D8%B1%D8%B9%20%D9%85%D9%86%20%D8%AA%D8%B1%D8%B9%D8%A9%20%D8%A7%D9%84%D9%86%D9%8A%D9%84%D8%8C%20%D9%82%D8%B3%D9%85%20%D8%A8%D9%86%D9%87%D8%A7%D8%8C%20%D9%82%D8%B3%D9%85%20%D8%A8%D9%86%D9%87%D8%A7%20%D9%A5%20.%20%D8%A3%20%D8%B9%D9%85%D8%A7%D8%B1%D8%A7%D8%AA%20%D8%A3%D8%AD%D9%85%D8%AF%20%D9%85%D8%B5%D8%B7%D9%81%D9%89%20%D9%85%D8%AA%D9%81%D8%B1%D8%B9%20%D9%85%D9%86%2C%20Teraad%20Al%20Nil%2C%20Banha%2C%20Al-Qalyubia%20Governorate%2013512%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
137,شركة الشروق للكمبيوتر والطابعات وكاميرات المراقبة,📱 محلات الموبايلات والإلكترونيات,موبايلات وإلكترونيات وكمبيوتر,,Computer support and services,Banha,,"بجانب بورصة المحمول, شارع فريد ندا امام مستشفى الايمان الخيرى, Al-Qalyubia Governorate, Egypt",201024335535.0,,,,,,4.2,54.0,,ChIJi-Uji1rf9xQR_UVVnfkxr1M,https://www.جوجل.com/maps/search/?api=1&query=%D8%B4%D8%B1%D9%83%D8%A9%20%D8%A7%D9%84%D8%B4%D8%B1%D9%88%D9%82%20%D9%84%D9%84%D9%83%D9%85%D8%A8%D9%8A%D9%88%D8%AA%D8%B1%20%D9%88%D8%A7%D9%84%D8%B7%D8%A7%D8%A8%D8%B9%D8%A7%D8%AA%20%D9%88%D9%83%D8%A7%D9%85%D9%8A%D8%B1%D8%A7%D8%AA%20%D8%A7%D9%84%D9%85%D8%B1%D8%A7%D9%82%D8%A8%D8%A9%20%D8%A8%D8%AC%D8%A7%D9%86%D8%A8%20%D8%A8%D9%88%D8%B1%D8%B5%D8%A9%20%D8%A7%D9%84%D9%85%D8%AD%D9%85%D9%88%D9%84%2C%20%D8%B4%D8%A7%D8%B1%D8%B9%20%D9%81%D8%B1%D9%8A%D8%AF%20%D9%86%D8%AF%D8%A7%20%D8%A7%D9%85%D8%A7%D9%85%20%D9%85%D8%B3%D8%AA%D8%B4%D9%81%D9%89%20%D8%A7%D9%84%D8%A7%D9%8A%D9%85%D8%A7%D9%86%20%D8%A7%D9%84%D8%AE%D9%8A%D8%B1%D9%89%2C%20Al-Qalyubia%20Governorate%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
138,Dubai Phone - Banha,📱 محلات الموبايلات والإلكترونيات,موبايلات وإلكترونيات وكمبيوتر,Cell phone store,موبايلات واتصالات,Banha,,"Qism Banha, Banha, Al-Qalyubia Governorate 6460241, Egypt",201109573724.0,,,,,,4.9,53.0,,ChIJZ6bJXwDf9xQR8rf5brcKyIo,https://www.جوجل.com/maps/search/?api=1&query=Dubai%20Phone%20-%20Banha%20Qism%20Banha%2C%20Banha%2C%20Al-Qalyubia%20Governorate%206460241%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
140,Mobile Station,📱 محلات الموبايلات والإلكترونيات,موبايلات وإلكترونيات وكمبيوتر,موبايلات,موبايلات,Banha,,F59J+58H، الشبان المسلمين,201020018148.0,,,,,,4.0,24.0,,,,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
141,الجزار موبايل استور,📱 محلات الموبايلات والإلكترونيات,موبايلات وإلكترونيات وكمبيوتر,,Cell phone store,Banha,,"23a الشهيد فريد ندا، قسم بنها، بنها، القليوبية 13512, Egypt",201020000344.0,,,,,,5.0,17.0,,ChIJXSAj5ITf9xQRS7HIZjFK2YI,https://www.جوجل.com/maps/search/?api=1&query=%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%B1%20%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84%20%D8%A7%D8%B3%D8%AA%D9%88%D8%B1%2023a%20%D8%A7%D9%84%D8%B4%D9%87%D9%8A%D8%AF%20%D9%81%D8%B1%D9%8A%D8%AF%20%D9%86%D8%AF%D8%A7%D8%8C%20%D9%82%D8%B3%D9%85%20%D8%A8%D9%86%D9%87%D8%A7%D8%8C%20%D8%A8%D9%86%D9%87%D8%A7%D8%8C%20%D8%A7%D9%84%D9%82%D9%84%D9%8A%D9%88%D8%A8%D9%8A%D8%A9%2013512%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
143,International British Institute of Languages ​​and Computer,📱 محلات الموبايلات والإلكترونيات,موبايلات وإلكترونيات وكمبيوتر,Language school,تعليم وتدريب,Banha,,"6 El-Shaheed Farid Nada, قسم, Banha 2, Al-Qalyubia Governorate 6470045, Egypt",201129080334.0,,,,,,4.5,11.0,,ChIJs3YXD1vf9xQRg-OaznBJkPs,https://www.جوجل.com/maps/search/?api=1&query=International%20British%20Institute%20of%20Languages%20%E2%80%8B%E2%80%8Band%20Computer%206%20El-Shaheed%20Farid%20Nada%2C%20%D9%82%D8%B3%D9%85%2C%20Banha%202%2C%20Al-Qalyubia%20Governorate%206470045%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
144,شركة المصرية لمستلزمات الكمبيوتر واللاب توب,📱 محلات الموبايلات والإلكترونيات,موبايلات وإلكترونيات وكمبيوتر,Computer store,كمبيوتر وإلكترونيات,Banha,,"Ibn Kamar, Qism Banha, Banha, Al-Qalyubia Governorate 6460185, Egypt",201030206792.0,,,,,,3.1,9.0,,ChIJC9RFyU91WBQRtsjuMV-pRpM,https://www.جوجل.com/maps/search/?api=1&query=%D8%B4%D8%B1%D9%83%D8%A9%20%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A%D8%A9%20%D9%84%D9%85%D8%B3%D8%AA%D9%84%D8%B2%D9%85%D8%A7%D8%AA%20%D8%A7%D9%84%D9%83%D9%85%D8%A8%D9%8A%D9%88%D8%AA%D8%B1%20%D9%88%D8%A7%D9%84%D9%84%D8%A7%D8%A8%20%D8%AA%D9%88%D8%A8%20Ibn%20Kamar%2C%20Qism%20Banha%2C%20Banha%2C%20Al-Qalyubia%20Governorate%206460185%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
147,NG متجر,📱 محلات الموبايلات والإلكترونيات,موبايلات وإلكترونيات وكمبيوتر,إلكترونيات,إلكترونيات,,مدينة بنها,أمام مدرسة ناصر - بنها/كفر الجزار,201145484684.0,,,,,,,,,,,,,,False,False,جوجل خرائط local listing,,,,
148,شركة النور للكمبيوتر وأنظمة المراقبة,📱 محلات الموبايلات والإلكترونيات,موبايلات وإلكترونيات وكمبيوتر,محل إلكترونيات,كمبيوتر ومراقبة,,مدينة بنها,متفرع من ترعة النيل - عمارات أحمد مصطفى,201090718050.0,,,,,,,,,,,,,,False,False,جوجل خرائط local listing,,,,
149,شركة بنها للصناعات الإلكترونية,📱 محلات الموبايلات والإلكترونيات,موبايلات وإلكترونيات وكمبيوتر,شركة/مصنع,إلكترونيات,,مدينة بنها,الشهيد فريد ندا,201004020595.0,,,,,,,,,,,,,,False,False,جوجل خرائط local listing,,,,
150,محمد عبد الرؤوف لقطع غيار السيارات,🚗 السيارات وقطع الغيار والخدمات المتعلقة بها,سيارات وقطع غيار وصيانة,,,بنها,,أبو العز، قسم بنها,201008303031.0,,,,,الجمعة 11:30ص–10م، السبت–الخميس 10ص–10م,4.1,126.0,,ChIJ4wl40FLf9xQR9fb6-NN7mB4,,,,,,لا,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
151,Cars Royal Services,🚗 السيارات وقطع الغيار والخدمات المتعلقة بها,سيارات وقطع غيار وصيانة,,Chauffeur service,Banha,,"F59H+CHW, El-Amal Hospital, ST, Banha 2, Al-Qalyubia Governorate 6470031, Egypt",201000954600.0,,,,,,4.1,111.0,,ChIJA4T50Vbf9xQRLScrA5g84W0,https://www.جوجل.com/maps/search/?api=1&query=Cars%20Royal%20Services%20F59H%2BCHW%2C%20El-Amal%20Hospital%2C%20ST%2C%20Banha%202%2C%20Al-Qalyubia%20Governorate%206470031%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
152,أوتو نصار,🚗 السيارات وقطع الغيار والخدمات المتعلقة بها,سيارات وقطع غيار وصيانة,,,بنها,,خلف المدرسة، قسم بنها,201221098244.0,,,,,,4.4,45.0,,ChIJ5aT0Cq_f9xQRDHvA2UC6e60,,,,,,لا,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
153,اوتو نصار Auto Nassar,🚗 السيارات وقطع الغيار والخدمات المتعلقة بها,سيارات وقطع غيار وصيانة,صيانة سيارات,صيانة سيارات,Banha,,F56R+J74 خلف المدرسة,201221098244.0,,,,,,4.4,45.0,,,,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
154,مركز المهندس لخدمات السيارات,🚗 السيارات وقطع الغيار والخدمات المتعلقة بها,سيارات وقطع غيار وصيانة,صيانة سيارات,صيانة سيارات,Banha,,مدخل عزبة البرنس، أمام بوابة مصنع,201212050319.0,,,,,,4.1,10.0,,,,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
155,Auto Blue Car Care,🚗 السيارات وقطع الغيار والخدمات المتعلقة بها,سيارات وقطع غيار وصيانة,غسيل سيارات,سيارات وخدمات,,مدينة بنها,ترعة النيل,,,,,,,,,,,,,,,False,False,جوجل خرائط local listing,,,,
156,Care & Cure For Physiotherapy,🚗 السيارات وقطع الغيار والخدمات المتعلقة بها,سيارات وقطع غيار وصيانة,أطباء وعيادات,,,مدينة بنها,"10 Salah El Din St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
158,المركز التجاري الصيني لتجارة قطع غيار الموتوسيكلات,🚗 السيارات وقطع الغيار والخدمات المتعلقة بها,سيارات وقطع غيار وصيانة,قطع غيار موتوسيكلات,سيارات ودراجات,,كفر الجزار,F5H5+VRP - كفر الجزار,,,,,,,,,,,,,,,False,False,Banha AI,,,,
161,شمس هايبر ماركت,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,,,بنها,,برج المدينة، كفر الجزار، بنها,201020622294.0,,,,,يومياً 9:30ص–1ص,3.9,1338.0,,ChIJxxs1nFTf9xQRIXC4dXbTnIs,,,,,,لا,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
162,Sednawi Banha Branch,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,متجر,متجر,Banha,,F55J+R45، قسم بنها,,,,,,,3.9,766.0,,,,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
163,Aswaa Almadina اسواق المدينة,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,,Supermarket,Banha,,"F58M+W89, Qism Banha, Banha, Al-Qalyubia Governorate 6470044, Egypt",201029023032.0,,,,,,4.2,668.0,,ChIJK8Y78Fnf9xQRHanREXTH5ec,https://www.جوجل.com/maps/search/?api=1&query=Aswaa%20Almadina%20%D8%A7%D8%B3%D9%88%D8%A7%D9%82%20%D8%A7%D9%84%D9%85%D8%AF%D9%8A%D9%86%D8%A9%20F58M%2BW89%2C%20Qism%20Banha%2C%20Banha%2C%20Al-Qalyubia%20Governorate%206470044%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
164,كارفور بنها,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,سوبر ماركت,سوبر ماركت,Banha,,كمال الدين حسين,201023613776.0,,,,,,4.1,435.0,,,,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
165,Ego Gym,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,جيم,جيم,Banha,,شارع 2، قسم بنها,201005235831.0,,,,,,5.0,429.0,,,,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
166,Kazyon,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,سوبر ماركت,سوبر ماركت,Banha,,شارع فرق الأمن - أمام مدرسة أنس ابن مالك,20221287500.0,,,,,,4.0,407.0,,,,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
167,Copy Shop,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,Library / Copy center,مكتبات وأدوات مكتبية,Banha,,"F59M+9Q5, ش الاستاد تقاطع ش مستشفى الأمل قسم بنها، بنها، Banha 2, Egypt",201110091213.0,,,,,,4.4,93.0,,ChIJLY6WJDLf9xQRR2eteFBDEvc,https://www.جوجل.com/maps/search/?api=1&query=Copy%20Shop%20F59M%2B9Q5%2C%20%D8%B4%20%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%A7%D8%AF%20%D8%AA%D9%82%D8%A7%D8%B7%D8%B9%20%D8%B4%20%D9%85%D8%B3%D8%AA%D8%B4%D9%81%D9%89%20%D8%A7%D9%84%D8%A3%D9%85%D9%84%20%D9%82%D8%B3%D9%85%20%D8%A8%D9%86%D9%87%D8%A7%D8%8C%20%D8%A8%D9%86%D9%87%D8%A7%D8%8C%20Banha%202%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
168,CIB,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,Bank,Bank,Banha,,"شارع حسنى مبارك, منطقة الفيلات, Al-Qalyubia Governorate, Egypt",20235679700.0,,,,,,3.8,84.0,,ChIJEeSk9k7f9xQRxSs6NmGGU4o,https://www.جوجل.com/maps/search/?api=1&query=CIB%20%D8%B4%D8%A7%D8%B1%D8%B9%20%D8%AD%D8%B3%D9%86%D9%89%20%D9%85%D8%A8%D8%A7%D8%B1%D9%83%2C%20%D9%85%D9%86%D8%B7%D9%82%D8%A9%20%D8%A7%D9%84%D9%81%D9%8A%D9%84%D8%A7%D8%AA%2C%20Al-Qalyubia%20Governorate%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
169,Kashkoush Studio,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,Portrait studio,Portrait studio,Banha,,"El-Shaheed Farid Nada, Qism Banha, Banha, Al-Qalyubia Governorate 6470153, Egypt",20133245767.0,,,,,,4.0,53.0,,ChIJN-oy8Frf9xQR-2qDG5BR-2U,https://www.جوجل.com/maps/search/?api=1&query=Kashkoush%20Studio%20El-Shaheed%20Farid%20Nada%2C%20Qism%20Banha%2C%20Banha%2C%20Al-Qalyubia%20Governorate%206470153%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
170,Suez Canal Insurance,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,Insurance agency,Insurance agency,Banha,,"3 ش سعد زغلول, Qism Banha, Banha, Al-Qalyubia Governorate 6460138, Egypt",20133274550.0,,,,,,4.0,45.0,,ChIJ34xxD-R1WBQRy_s2dPmD3P8,https://www.جوجل.com/maps/search/?api=1&query=Suez%20Canal%20Insurance%203%20%D8%B4%20%D8%B3%D8%B9%D8%AF%20%D8%B2%D8%BA%D9%84%D9%88%D9%84%2C%20Qism%20Banha%2C%20Banha%2C%20Al-Qalyubia%20Governorate%206460138%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
171,مكتبة سمارت,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,,Stationery store,Banha,,"F5FJ+CHW, الرضى، قسم بنها، بنها، القليوبية, Qism Banha, Banha 2, Egypt",20133232157.0,,,,,,4.5,36.0,,ChIJnT7YZ_jf9xQR9TJQoz0mNHM,https://www.جوجل.com/maps/search/?api=1&query=%D9%85%D9%83%D8%AA%D8%A8%D8%A9%20%D8%B3%D9%85%D8%A7%D8%B1%D8%AA%20F5FJ%2BCHW%2C%20%D8%A7%D9%84%D8%B1%D8%B6%D9%89%D8%8C%20%D9%82%D8%B3%D9%85%20%D8%A8%D9%86%D9%87%D8%A7%D8%8C%20%D8%A8%D9%86%D9%87%D8%A7%D8%8C%20%D8%A7%D9%84%D9%82%D9%84%D9%8A%D9%88%D8%A8%D9%8A%D8%A9%2C%20Qism%20Banha%2C%20Banha%202%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
172,المستشار صبحى بيومى . المحامى,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,Attorney,Attorney,Banha,,"بجوار بنك الاسكندرية وسجاد الشرقاوي, Saad Zaghloul, Qism Banha, Banha, Al-Qalyubia Governorate 6460242, Egypt",201286657117.0,,,,,,4.6,20.0,,ChIJH1cPDlDf9xQRfbo15fJ3QPQ,https://www.جوجل.com/maps/search/?api=1&query=%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%20%D8%B5%D8%A8%D8%AD%D9%89%20%D8%A8%D9%8A%D9%88%D9%85%D9%89%20.%20%D8%A7%D9%84%D9%85%D8%AD%D8%A7%D9%85%D9%89%20%D8%A8%D8%AC%D9%88%D8%A7%D8%B1%20%D8%A8%D9%86%D9%83%20%D8%A7%D9%84%D8%A7%D8%B3%D9%83%D9%86%D8%AF%D8%B1%D9%8A%D8%A9%20%D9%88%D8%B3%D8%AC%D8%A7%D8%AF%20%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D8%A7%D9%88%D9%8A%2C%20Saad%20Zaghloul%2C%20Qism%20Banha%2C%20Banha%2C%20Al-Qalyubia%20Governorate%206460242%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
173,ODD petshop,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,,Pet store,Banha,,"14 شارع El-Amal Hospital, Qism Banha, Banha 2, Al-Qalyubia Governorate 6470045, Egypt",201284173314.0,,,,,,4.2,17.0,,ChIJQ9mfV57f9xQRwfc7Gb09l_I,https://www.جوجل.com/maps/search/?api=1&query=ODD%20petshop%2014%20%D8%B4%D8%A7%D8%B1%D8%B9%20El-Amal%20Hospital%2C%20Qism%20Banha%2C%20Banha%202%2C%20Al-Qalyubia%20Governorate%206470045%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
174,Think INK Copy Center,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,طباعة وتصوير,طباعة وتصوير,Banha,,شارع النساج أمام كلية العلوم,201016858003.0,,,,,,4.6,14.0,,,,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
175,كناري للحيوانات الأليفة,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,Pet store,Pet store,Banha,,"F5CP+GGF, Qism Banha, Banha 2, Al-Qalyubia Governorate 6470171, Egypt",201287720315.0,,,,,,5.0,11.0,,ChIJb-NrM5_f9xQR8h1Mq4uMkWI,https://www.جوجل.com/maps/search/?api=1&query=%D9%83%D9%86%D8%A7%D8%B1%D9%8A%20%D9%84%D9%84%D8%AD%D9%8A%D9%88%D8%A7%D9%86%D8%A7%D8%AA%20%D8%A7%D9%84%D8%A3%D9%84%D9%8A%D9%81%D8%A9%20F5CP%2BGGF%2C%20Qism%20Banha%2C%20Banha%202%2C%20Al-Qalyubia%20Governorate%206470171%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
176,الفرعون للتسويق العقارى فى بنها,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,,Real estate agency,Banha,,"Qalyubia Governorate Building, Abd El-Badei, Qism Banha, Banha 2, Al-Qalyubia Governorate 6470101, Egypt",201030145060.0,,,,,,5.0,4.0,,ChIJA8Y3ArLf9xQR2k_3aswY_-I,https://www.جوجل.com/maps/search/?api=1&query=%D8%A7%D9%84%D9%81%D8%B1%D8%B9%D9%88%D9%86%20%D9%84%D9%84%D8%AA%D8%B3%D9%88%D9%8A%D9%82%20%D8%A7%D9%84%D8%B9%D9%82%D8%A7%D8%B1%D9%89%20%D9%81%D9%89%20%D8%A8%D9%86%D9%87%D8%A7%20Qalyubia%20Governorate%20Building%2C%20Abd%20El-Badei%2C%20Qism%20Banha%2C%20Banha%202%2C%20Al-Qalyubia%20Governorate%206470101%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
177,مكتبتك فرع الفيومي,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,Book store,Book store,Banha,,"تاني تقاطع في, ٤ El-Fayoumy, Qism Banha, Banha 2, Al-Qalyubia Governorate 13515, Egypt",201017306244.0,,,,,,5.0,3.0,,ChIJN9SPqWjf9xQRp_8KU4-q890,https://www.جوجل.com/maps/search/?api=1&query=%D9%85%D9%83%D8%AA%D8%A8%D8%AA%D9%83%20%D9%81%D8%B1%D8%B9%20%D8%A7%D9%84%D9%81%D9%8A%D9%88%D9%85%D9%8A%20%D8%AA%D8%A7%D9%86%D9%8A%20%D8%AA%D9%82%D8%A7%D8%B7%D8%B9%20%D9%81%D9%8A%2C%20%D9%A4%20El-Fayoumy%2C%20Qism%20Banha%2C%20Banha%202%2C%20Al-Qalyubia%20Governorate%2013515%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
179,مكتب محاسب قانوني احمد غنيمي,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,Accounting firm,Accounting firm,Banha,,"Ibrahim Al Nouri, Qism Banha, Banha, Al-Qalyubia Governorate 6460241, Egypt",201154498943.0,,,,,,5.0,2.0,,ChIJkbgFGfyZvSURWJxJX82Eckw,https://www.جوجل.com/maps/search/?api=1&query=%D9%85%D9%83%D8%AA%D8%A8%20%D9%85%D8%AD%D8%A7%D8%B3%D8%A8%20%D9%82%D8%A7%D9%86%D9%88%D9%86%D9%8A%20%D8%A7%D8%AD%D9%85%D8%AF%20%D8%BA%D9%86%D9%8A%D9%85%D9%8A%20Ibrahim%20Al%20Nouri%2C%20Qism%20Banha%2C%20Banha%2C%20Al-Qalyubia%20Governorate%206460241%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
180,مشتل رافت فريدفريد ابوالدهب,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,Plant nursery,Plant nursery,Banha,,"F5PH+WP7, Warwarah, Banha, Al-Qalyubia Governorate 6456314, Egypt",,,,,,,5.0,1.0,,ChIJ4cyZoGPf9xQRs_MJpf-2sA8,https://www.جوجل.com/maps/search/?api=1&query=%D9%85%D8%B4%D8%AA%D9%84%20%D8%B1%D8%A7%D9%81%D8%AA%20%D9%81%D8%B1%D9%8A%D8%AF%D9%81%D8%B1%D9%8A%D8%AF%20%D8%A7%D8%A8%D9%88%D8%A7%D9%84%D8%AF%D9%87%D8%A8%20F5PH%2BWP7%2C%20Warwarah%2C%20Banha%2C%20Al-Qalyubia%20Governorate%206456314%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
181,مكتبة زياد,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,Stationery store,مكتبات وأدوات مكتبية,Banha,,"Al Shoban Al Moslemin, Qism Banha, Banha 2, Al-Qalyubia Governorate 13511, Egypt",201143851291.0,,,,,,5.0,1.0,,ChIJieNdI9jf9xQRDJUNUOHzxkg,https://www.جوجل.com/maps/search/?api=1&query=%D9%85%D9%83%D8%AA%D8%A8%D8%A9%20%D8%B2%D9%8A%D8%A7%D8%AF%20Al%20Shoban%20Al%20Moslemin%2C%20Qism%20Banha%2C%20Banha%202%2C%20Al-Qalyubia%20Governorate%2013511%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
182,Abou El Khair B.B.Q,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,مطاعم,,,مدينة بنها,"Kafr El Gazzar, Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
183,Al Kawthr Dairy,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,مطاعم,,,مدينة بنها,"Villas District, Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
184,Al Sid Abu Al Kheer Barbecue,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,مطاعم,,,مدينة بنها,"15 C El Nozha St., El Mansheya, Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
185,Aly Baba,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,مطاعم,,,مدينة بنها,"Farid Nada St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
186,Anany Pastry,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,مطاعم,,,مدينة بنها,"El Naggar St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
187,B.Laban,🛍️ المتاجر والخدمات المختلفة,متاجر وخدمات مختلفة,مطاعم,,,مدينة بنها,"El Khedma El Egtemaeya St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
